,airline,number_of_changes,origin_city_code,destination_country_code,search_weekday,depart_weekday,diff_days,distance,price,number_of_changes_category,airline_category,destination_category
6760,Wizz Air,2,MOW,ES,2,3,225,3420.17,8165,2,Other,tourism
6761,Aeroflot,1,MOW,US,2,2,210,9198.78,28108,1,Aeroflot,culture
6762,Nordwind Airlines,0,MOW,RU,2,1,223,1245.22,4492,0,Nordwind Airlines,domestic
6763,Azimut,0,MOW,RU,2,0,222,1137.51,3480,0,Azimut,domestic
6764,Wizz Air,2,MOW,IT,2,1,223,2787.17,6351,2,Other,culture
6765,S7 Airlines,0,MOW,UZ,2,3,204,2792.29,6610,0,S7 Airlines,cis
6766,Wizz Air,1,MOW,IN,2,4,219,6080.87,17165,1,Other,tourism
6767,S7 Airlines,0,MOW,TR,2,2,210,2154.06,8005,0,S7 Airlines,tourism
6768,Pobeda,0,MOW,RU,2,6,207,1193.19,3299,0,Pobeda,domestic
6769,Pobeda,0,MOW,RU,2,4,205,893.09,3299,0,Pobeda,domestic
6770,Pobeda,0,MOW,RU,2,2,217,771.09,4399,0,Pobeda,domestic
6771,Nordwind Airlines,0,MOW,RU,2,6,221,6144.5,11771,0,Nordwind Airlines,domestic
6772,Uzbekistan Airways,0,MOW,UZ,2,2,231,3017.68,7021,0,Uzbekistan Airways,cis
6773,S7 Airlines,1,MOW,RU,2,2,238,3379.79,11162,1,S7 Airlines,domestic
6774,Wizz Air,2,MOW,GR,2,6,242,2335.39,7969,2,Other,tourism
6775,Pobeda,0,MOW,RU,2,6,256,1270.49,2749,0,Pobeda,domestic
6776,Pobeda,0,MOW,DE,2,0,243,2051.9,8416,0,Pobeda,culture
6777,Aeroflot,1,MOW,IN,2,4,261,5123.59,29220,1,Aeroflot,tourism
6778,Aeroflot,2,MOW,US,2,2,245,8196.79,28136,2,Aeroflot,culture
6779,Wizz Air,1,MOW,DE,2,6,235,2135.42,11134,1,Other,culture
6780,Nordwind Airlines,0,MOW,RU,2,2,245,1496.68,4466,0,Nordwind Airlines,domestic
6781,Aeroflot,1,MOW,US,2,2,245,9898.39,29799,1,Aeroflot,culture
6782,Pobeda,1,MOW,TR,2,1,251,2195.74,8984,1,Pobeda,tourism
6783,Nordwind Airlines,0,MOW,RU,2,6,242,3324.82,4281,0,Nordwind Airlines,domestic
6784,Pegasus Airlines,1,MOW,TR,2,0,236,2089.38,10232,1,Pegasus Airlines,tourism
6785,Pobeda,0,MOW,RU,2,0,243,1334.24,2399,0,Pobeda,domestic
6786,S7 Airlines,0,MOW,RU,2,5,248,386.51,4049,0,S7 Airlines,domestic
6787,S7 Airlines,1,MOW,RU,2,1,244,5876.42,13592,1,S7 Airlines,domestic
6788,Uzbekistan Airways,0,MOW,UZ,2,6,242,2951.46,6760,0,Uzbekistan Airways,cis
6789,Pobeda,0,MOW,RU,2,5,255,2991.64,5594,0,Pobeda,domestic
6790,Wizz Air,1,MOW,ES,2,1,244,3430.21,5206,1,Other,tourism
6791,Aeroflot,1,MOW,US,2,3,253,7786.06,35510,1,Aeroflot,culture
6792,Aeroflot,0,MOW,RU,2,3,246,1004.37,4243,0,Aeroflot,domestic
6793,Nordwind Airlines,0,MOW,RU,2,4,240,1201.71,1685,0,Nordwind Airlines,domestic
6794,Nordwind Airlines,1,MOW,DE,2,6,235,2033.29,5733,1,Nordwind Airlines,culture
6795,Wizz Air,2,MOW,IT,2,3,253,2668.41,6494,2,Other,culture
6796,Wizz Air,2,MOW,IT,2,3,260,2638.56,7018,2,Other,culture
6797,Uzbekistan Airways,0,MOW,UZ,2,2,252,2654.56,6817,0,Uzbekistan Airways,cis
6798,Nordwind Airlines,0,MOW,RU,2,3,253,1191.19,1785,0,Nordwind Airlines,domestic
6799,S7 Airlines,1,MOW,KZ,2,3,260,2279.13,10167,1,S7 Airlines,cis
6800,S7 Airlines,0,MOW,UZ,2,0,236,2791.24,5655,0,S7 Airlines,cis
6801,Nordwind Airlines,1,MOW,RU,2,0,236,5599.18,10550,1,Nordwind Airlines,domestic
6802,Nordwind Airlines,1,MOW,RU,2,3,260,840.05,3919,1,Nordwind Airlines,domestic
6803,Pobeda,0,MOW,RU,2,0,250,2878.27,3699,0,Pobeda,domestic
6804,Pegasus Airlines,2,MOW,TR,2,5,234,1911.0,16661,2,Pegasus Airlines,tourism
6805,Aeroflot,1,MOW,US,2,5,255,7810.53,30165,1,Aeroflot,culture
6806,Wizz Air,1,MOW,IT,2,3,246,2098.36,7122,1,Other,culture
6807,Nordwind Airlines,0,MOW,RU,2,3,246,6410.71,12007,0,Nordwind Airlines,domestic
6808,Aeroflot,0,MOW,US,2,5,234,9793.74,22011,0,Aeroflot,culture
6809,Nordwind Airlines,0,MOW,RU,2,5,241,1466.42,2224,0,Nordwind Airlines,domestic
6810,Aeroflot,1,MOW,US,2,5,248,9470.39,26878,1,Aeroflot,culture
6811,Pobeda,0,MOW,RU,2,4,261,692.14,2949,0,Pobeda,domestic
6812,Aeroflot,1,MOW,US,2,3,253,7224.28,23170,1,Aeroflot,culture
6813,S7 Airlines,0,MOW,RU,2,4,240,1476.84,2499,0,S7 Airlines,domestic
6814,Aeroflot,1,MOW,US,2,0,236,9568.52,29253,1,Aeroflot,culture
6815,Wizz Air,2,MOW,ES,2,1,237,3318.23,6553,2,Other,tourism
6816,Nordwind Airlines,1,MOW,TR,2,3,246,1889.67,10219,1,Nordwind Airlines,tourism
6817,S7 Airlines,0,MOW,UZ,2,2,238,2647.82,5830,0,S7 Airlines,cis
6818,Pobeda,0,MOW,RU,2,0,236,4208.67,5584,0,Pobeda,domestic
6819,Nordwind Airlines,1,MOW,TR,2,2,245,1759.79,5765,1,Nordwind Airlines,tourism
